Column 1,Column 2,Column 3
Date,Event,Location
SatAug 052:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatAug 052:00 PM,Wicked,"Gershwin Theatre
New York, NY"
SatAug 052:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatAug 052:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatAug 058:00 PM,Hello Dolly,"Shubert Theatre-NYC
New York, NY"
SatAug 058:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatAug 058:00 PM,Wicked,"Gershwin Theatre
New York, NY"
SatAug 058:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatAug 058:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SunAug 061:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunAug 063:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SunAug 066:30 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonAug 077:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
MonAug 078:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueAug 087:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueAug 087:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
TueAug 087:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
WedAug 092:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedAug 092:00 PM,Wicked,"Gershwin Theatre
New York, NY"
WedAug 098:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedAug 098:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
ThuAug 107:00 PM,Bette Midler in Hello Dolly!,"Shubert Theatre-NYC
New York, NY"
ThuAug 107:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuAug 107:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
FriAug 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriAug 118:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatAug 122:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatAug 122:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SatAug 122:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatAug 128:00 PM,Hello Dolly,"Shubert Theatre-NYC
New York, NY"
SatAug 128:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatAug 128:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
SunAug 131:00 PM,Charlie and the Chocolate Factory,"Lunt-Fontanne Theater
New York, NY"
