,Date,Day,Event,Time,Venue
1,Aug 05,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
2,Aug 05,Sat,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
3,Aug 05,Sat,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
4,Aug 05,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
5,Aug 05,Sat,Hello Dolly,8:00 PM,"Shubert Theatre-NYC
New York, NY"
6,Aug 05,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
7,Aug 05,Sat,Wicked,8:00 PM,"Gershwin Theatre
New York, NY"
8,Aug 05,Sat,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
9,Aug 05,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
10,Aug 06,Sun,Charlie and the Chocolate Factory,1:00 PM,"Lunt-Fontanne Theater
New York, NY"
11,Aug 06,Sun,Hamilton - New York,3:00 PM,"Richard Rodgers Theatre
New York, NY"
12,Aug 06,Sun,Charlie and the Chocolate Factory,6:30 PM,"Lunt-Fontanne Theater
New York, NY"
13,Aug 07,Mon,Charlie and the Chocolate Factory,7:00 PM,"Lunt-Fontanne Theater
New York, NY"
14,Aug 07,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
15,Aug 08,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
16,Aug 08,Tue,Charlie and the Chocolate Factory,7:00 PM,"Lunt-Fontanne Theater
New York, NY"
17,Aug 08,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
18,Aug 09,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
19,Aug 09,Wed,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
20,Aug 09,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
21,Aug 09,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
22,Aug 10,Thu,Bette Midler in Hello Dolly!,7:00 PM,"Shubert Theatre-NYC
New York, NY"
23,Aug 10,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
24,Aug 10,Thu,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
25,Aug 11,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
26,Aug 11,Fri,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
27,Aug 12,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
28,Aug 12,Sat,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
29,Aug 12,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
30,Aug 12,Sat,Hello Dolly,8:00 PM,"Shubert Theatre-NYC
New York, NY"
31,Aug 12,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
32,Aug 12,Sat,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
33,Aug 13,Sun,Charlie and the Chocolate Factory,1:00 PM,"Lunt-Fontanne Theater
New York, NY"
34,Aug 13,Sun,Charlie and the Chocolate Factory,6:30 PM,"Lunt-Fontanne Theater
New York, NY"
35,Aug 14,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
36,Aug 15,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
37,Aug 15,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
38,Aug 16,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
39,Aug 16,Wed,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
40,Aug 16,Wed,Lionel Richie and Mariah Carey,7:00 PM,"Wells Fargo Center-PA
Philadelphia, PA"
41,Aug 16,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
42,Aug 17,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
43,Aug 17,Thu,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
44,Aug 18,Fri,Lionel Richie and Mariah Carey,7:00 PM,"Prudential Center
Newark, NJ"
45,Aug 18,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
46,Aug 18,Fri,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
47,Aug 19,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
48,Aug 19,Sat,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
49,Aug 19,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
50,Aug 19,Sat,Avenue Q,8:00 PM,"New World Stages-Stage 3
New York, NY"
51,Aug 19,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
52,Aug 19,Sat,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
53,Aug 19,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
54,Aug 20,Sun,Charlie and the Chocolate Factory,1:00 PM,"Lunt-Fontanne Theater
New York, NY"
55,Aug 20,Sun,Hamilton - New York,3:00 PM,"Richard Rodgers Theatre
New York, NY"
56,Aug 21,Mon,Charlie and the Chocolate Factory,7:00 PM,"Lunt-Fontanne Theater
New York, NY"
57,Aug 21,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
58,Aug 22,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
59,Aug 23,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
60,Aug 23,Wed,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
61,Aug 23,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
62,Aug 23,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
63,Aug 24,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
64,Aug 25,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
65,Aug 26,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
66,Aug 26,Sat,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
67,Aug 26,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
68,Aug 26,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
69,Aug 26,Sat,Charlie and the Chocolate Factory,8:00 PM,"Lunt-Fontanne Theater
New York, NY"
70,Aug 26,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
71,Aug 27,Sun,Charlie and the Chocolate Factory,1:00 PM,"Lunt-Fontanne Theater
New York, NY"
72,Aug 27,Sun,Charlie and the Chocolate Factory,6:30 PM,"Lunt-Fontanne Theater
New York, NY"
73,Aug 28,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
74,Aug 29,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
75,Aug 29,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
76,Aug 30,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
77,Aug 30,Wed,Wicked,2:00 PM,"Gershwin Theatre
New York, NY"
78,Aug 30,Wed,Charlie and the Chocolate Factory,2:00 PM,"Lunt-Fontanne Theater
New York, NY"
79,Aug 30,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
80,Aug 30,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
